id,name,club,joined,year
80,Tom Starke,27,1341093600,2016
2219,Philipp Lahm,27,1025474400,2016
4360,Arjen Robben,27,1251410400,2016
7476,Xabi Alonso,27,1409263200,2016
17259,Manuel Neuer,27,1309471200,2016
22068,Franck Ribéry,27,1183240800,2016
26485,Jérôme Boateng,27,1310594400,2016
33947,Rafinha,27,1309471200,2016
37666,Arturo Vidal,27,1438034400,2016
38253,Robert Lewandowski,27,1404165600,2016
39728,Mats Hummels,27,1467324000,2016
40680,Sven Ulreich,27,1435701600,2016
44017,Javi Martínez,27,1346191200,2016
45124,Medhi Benatia,27,1409090400,2016
54659,Holger Badstuber,27,1246399200,2016
58358,Thomas Müller,27,1246399200,2016
59016,David Alaba,27,1277935200,2016
60444,Thiago,27,1373752800,2016
75615,Douglas Costa,27,1435701600,2016
126719,Juan Bernat,27,1404684000,2016
161056,Joshua Kimmich,27,1435788000,2016
195051,Gianluca Gaudino,27,1404165600,2016
251302,Niklas Dorsch,27,1467324000,2016
258027,Renato Sanches,27,1467324000,2016
337027,Fabian Benko,27,1467324000,2016
31741,Nicolas Feldhahn,27,False,2016
156990,Marco Friedl,27,False,2016
161204,Julian Green,27,1388530800,2016
170521,Erdal Öztürk,27,False,2016
196427,Leo Weinkauf,27,False,2016
243714,Kingsley Coman,27,1440885600,2016
330635,Felix Götze,27,False,2016
330699,Raphael Obermair,27,False,2016
26,Roman Weidenfeller,16,1025474400,2016
25727,Lukasz Piszczek,16,1277935200,2016
28947,Gonzalo Castro,16,1435701600,2016
29993,Sven Bender,16,1246399200,2016
31095,Nuri Şahin,16,1404165600,2016
34322,Sokratis Papastathopoulos,16,1372629600,2016
35207,Marco Reus,16,1341093600,2016
35208,Marcel Schmelzer,16,1214863200,2016
40995,Neven Subotic,16,1214863200,2016
44466,Sebastian Rode,16,1467324000,2016
58205,André Schürrle,16,1469138400,2016
58864,Pierre-Emerick Aubameyang,16,1372888800,2016
59027,Roman Bürki,16,1435701600,2016
73782,Adrián Ramos,16,1404165600,2016
74842,Mario Götze,16,1469052000,2016
81785,Shinji Kagawa,16,1409436000,2016
93922,Erik Durm,16,1377640800,2016
99922,Marc Bartra,16,1467324000,2016
104220,Hendrik Bonmann,16,1404165600,2016
111900,Ju-ho Park,16,1440799200,2016
124502,Matthias Ginter,16,1405548000,2016
170986,Raphaël Guerreiro,16,1467324000,2016
196792,Julian Weigl,16,1435701600,2016
251295,Dzenis Burnic,16,1467324000,2016
274461,Felix Passlack,16,1451862000,2016
283223,Emre Mor,16,1467324000,2016
288230,Ousmane Dembélé,16,1467324000,2016
315779,Christian Pulisic,16,1451862000,2016
338424,Mikel Merino,16,1467324000,2016
349066,Alexander Isak,16,1485126000,2016
293281,Jacob Bruun Larsen,16,False,2016
9340,Marvin Compper,23826,1406930400,2016
10250,Fabio Coltorti,23826,1341093600,2016
40074,Stefan Ilsanker,23826,1435701600,2016
52200,Dominik Kaiser,23826,1342044000,2016
57071,Péter Gulácsi,23826,1435701600,2016
58995,Anthony Jung,23826,1372629600,2016
70243,Marcel Halstenberg,23826,1440972000,2016
82070,Diego Demme,23826,1389135600,2016
93740,Willi Orbán,23826,1435701600,2016
94559,Nils Quaschner,23826,1435701600,2016
106987,Marcel Sabitzer,23826,1404165600,2016
111078,Emil Forsberg,23826,1420585200,2016
