id,name,club,joined,year
4360,Arjen Robben,27,1251410400,2018
17259,Manuel Neuer,27,1309471200,2018
22068,Franck Ribéry,27,1183240800,2018
26485,Jérôme Boateng,27,1310594400,2018
33947,Rafinha,27,1309471200,2018
38253,Robert Lewandowski,27,1404165600,2018
39728,Mats Hummels,27,1467324000,2018
40680,Sven Ulreich,27,1435701600,2018
44017,Javi Martínez,27,1346191200,2018
58358,Thomas Müller,27,1246399200,2018
59016,David Alaba,27,1277935200,2018
60444,Thiago,27,1373752800,2018
153084,Leon Goretzka,27,1530396000,2018
156990,Marco Friedl,27,1498860000,2018
159471,Serge Gnabry,27,1498860000,2018
161056,Joshua Kimmich,27,1435788000,2018
166601,Niklas Süle,27,1498860000,2018
190393,Corentin Tolisso,27,1498860000,2018
243714,Kingsley Coman,27,1498860000,2018
258027,Renato Sanches,27,1467324000,2018
317444,Ron-Thorben Hoffmann,27,1530396000,2018
336307,Christian Früchtl,27,1498860000,2018
379980,Meritan Shabani,27,False,2018
424204,Alphonso Davies,27,1546297200,2018
39743,Sandro Wagner,27,1514761200,2018
57051,Sebastian Rudy,27,1498860000,2018
88103,James Rodríguez,27,1499810400,2018
126719,Juan Bernat,27,1404684000,2018
297583,Woo-yeong Jeong,27,False,2018
345780,Lukas Mai,27,False,2018
356640,Paul Will,27,False,2018
379989,Jonathan Meier,27,False,2018
25727,Lukasz Piszczek,16,1277935200,2018
35047,Axel Witsel,16,1533506400,2018
35207,Marco Reus,16,1341093600,2018
35208,Marcel Schmelzer,16,1214863200,2018
43512,Ömer Toprak,16,1498860000,2018
44466,Sebastian Rode,16,1467324000,2018
58205,André Schürrle,16,1469138400,2018
59027,Roman Bürki,16,1435701600,2018
59238,Marwin Hitz,16,1530396000,2018
74842,Mario Götze,16,1469052000,2018
81785,Shinji Kagawa,16,1409436000,2018
91849,Thomas Delaney,16,1530396000,2018
129674,Jeremy Toljan,16,1504044000,2018
143891,Maximilian Philipp,16,1498860000,2018
152460,Eric Oelschlägel,16,1530396000,2018
170986,Raphaël Guerreiro,16,1467324000,2018
191422,Mahmoud Dahoud,16,1498860000,2018
193900,Marius Wolf,16,1530482400,2018
196792,Julian Weigl,16,1435701600,2018
229005,Abdou Diallo,16,1530396000,2018
251295,Dzenis Burnic,16,1467324000,2018
