id,name,club,joined,year
17259,Manuel Neuer,27,1309471200,2021
38253,Robert Lewandowski,27,1404165600,2021
40680,Sven Ulreich,27,1625090400,2021
45660,Eric Maxim Choupo-Moting,27,1601848800,2021
58358,Thomas Müller,27,1246399200,2021
106987,Marcel Sabitzer,27,1630274400,2021
153084,Leon Goretzka,27,1530396000,2021
159471,Serge Gnabry,27,1498860000,2021
161056,Joshua Kimmich,27,1435788000,2021
166601,Niklas Süle,27,1498860000,2021
190393,Corentin Tolisso,27,1498860000,2021
190685,Bouna Sarr,27,1601848800,2021
192565,Leroy Sané,27,1594764000,2021
243714,Kingsley Coman,27,1498860000,2021
281963,Lucas Hernández,27,1561932000,2021
336307,Christian Früchtl,27,1498860000,2021
336869,Marc Roca,27,1601762400,2021
344695,Dayot Upamecano,27,1625436000,2021
353366,Benjamin Pavard,27,1561932000,2021
424204,Alphonso Davies,27,1546297200,2021
424881,Omar Richards,27,1625090400,2021
467437,Malik Tillman,27,1625090400,2021
483046,Josip Stanisic,27,1627768800,2021
538996,Tanguy Nianzou,27,1593554400,2021
580195,Jamal Musiala,27,1593554400,2021
900909,Paul Wanner,27,1643583600,2021
31741,Nicolas Feldhahn,27,False,2021
57574,Timo Kern,27,False,2021
317444,Ron-Thorben Hoffmann,27,1530396000,2021
344600,Michaël Cuisance,27,1566079200,2021
513963,Taylor Booth,27,False,2021
522248,Jamie Lawrence,27,False,2021
578539,Chris Richards,27,1593554400,2021
580193,Bright Arrey-Mbi,27,1643497200,2021
604323,Nemanja Motika,27,False,2021
604327,Gabriel Vidovic,27,False,2021
636898,Lucas Copado,27,False,2021
744728,Arijon Ibrahimovic,27,False,2021
35047,Axel Witsel,16,1533506400,2021
35207,Marco Reus,16,1341093600,2021
35208,Marcel Schmelzer,16,1214863200,2021
39728,Mats Hummels,16,1561932000,2021
59027,Roman Bürki,16,1435701600,2021
59238,Marwin Hitz,16,1530396000,2021
85867,Nico Schulz,16,1561932000,2021
100986,Thomas Meunier,16,1593554400,2021
102226,Thorgan Hazard,16,1561932000,2021
119296,Emre Can,16,1593554400,2021
170986,Raphaël Guerreiro,16,1467324000,2021
187492,Julian Brandt,16,1561932000,2021
191422,Mahmoud Dahoud,16,1498860000,2021
193900,Marius Wolf,16,1530482400,2021
257814,Gregor Kobel,16,1625090400,2021
274461,Felix Passlack,16,1451862000,2021
282144,Marin Pongracic,16,1630360800,2021
284730,Manuel Akanji,16,1515970800,2021
296879,Steffen Tigges,16,1609455600,2021
326029,Donyell Malen,16,1627336800,2021
344598,Dan-Axel Zagadou,16,1498860000,2021
388067,Stefan Drljaca,16,False,2021
388513,Mateu Morey,16,1561932000,2021
388815,Luca Unbehaun,16,1561932000,2021
418560,Erling Haaland,16,1577833200,2021
467720,Youssoufa Moukoko,16,1595973600,2021
504215,Giovanni Reyna,16,1578783600,2021
521919,Lion Semic,16,False,2021
581678,Jude Bellingham,16,1595455200,2021
627226,Reinier,16,1597788000,2021
659513,Soumaïla Coulibaly,16,1625090400,2021
670882,Jamie Bynoe-Gittens,16,False,2021
718232,Abdoulaye Kamara,16,False,2021
798043,Tom Rothe,16,False,2021
91849,Thomas Delaney,16,1530396000,2021
384745,Tobias Raschl,16,1561932000,2021
392710,Lennard Maloney,16,False,2021
395928,Marco Pasalic,16,False,2021
412935,Immanuel Pherai,16,1593554400,2021
429874,Ansgar Knauff,16,1625090400,2021
482573,Antonios Papadopoulos,16,False,2021
596153,Justin Njinmah,16,False,2021
655912,Göktan Gürpüz,16,False,2021
684116,Silas Ostrzinski,16,False,2021
21726,Philipp Tschauner,23826,1564437600,2021
53418,Kevin Kampl,23826,1504130400,2021
57071,Péter Gulácsi,23826,1435701600,2021
70243,Marcel Halstenberg,23826,1440972000,2021
93740,Willi Orbán,23826,1435701600,2021
111078,Emil Forsberg,23826,1420585200,2021
157635,Yussuf Poulsen,23826,1372888800,2021
198008,André Silva,23826,1625176800,2021
202591,Benjamin Henrichs,23826,1625090400,2021
215599,Lukas Klostermann,23826,1408658400,2021
223967,Konrad Laimer,23826,1498860000,2021
277179,Angeliño,23826,1625090400,2021
293385,Dani Olmo,23826,1579906800,2021
332705,Tyler Adams,23826,1546297200,2021
344381,Christopher Nkunku,23826,1563400800,2021
348026,Nordi Mukiele,23826,1530396000,2021
388516,Josep Martínez,23826,1594764000,2021
402008,Amadou Haidara,23826,1546297200,2021
451276,Dominik Szoboszlai,23826,1609455600,2021
475959,Josko Gvardiol,23826,1625090400,2021
508637,Solomon Bonnah,23826,False,2021
666234,Mohamed Simakan,23826,1625090400,2021
668276,Hugo Novoa,23826,1625090400,2021
692462,Ben Klefisch,23826,1625695200,2021
717345,Sidney Raebiger,23826,1625090400,2021
106987,Marcel Sabitzer,23826,1404165600,2021
292246,Hee-chan Hwang,23826,1594764000,2021
405685,Fabrice Hartmann,23826,1562104800,2021
473169,Brian Brobbey,23826,1625090400,2021
574199,David Lelle,23826,False,2021
597004,Joscha Wosz,23826,1625090400,2021
605306,Mehmet Ibrahimi,23826,False,2021
617074,Ilaix Moriba,23826,1630360800,2021
692463,Fabian Eutinger,23826,False,2021
41323,Andreas Luthe,89,1596405600,2021
53437,Bastian Oczipka,89,1630274400,2021
72792,Niko Gießelmann,89,1594764000,2021
75921,Christopher Trimmel,89,1404165600,2021
