id,name,club,joined,year
80,Tom Starke,27,1505944800,2017
4360,Arjen Robben,27,1251410400,2017
17259,Manuel Neuer,27,1309471200,2017
22068,Franck Ribéry,27,1183240800,2017
26485,Jérôme Boateng,27,1310594400,2017
33947,Rafinha,27,1309471200,2017
37666,Arturo Vidal,27,1438034400,2017
38253,Robert Lewandowski,27,1404165600,2017
39728,Mats Hummels,27,1467324000,2017
39743,Sandro Wagner,27,1514761200,2017
40680,Sven Ulreich,27,1435701600,2017
44017,Javi Martínez,27,1346191200,2017
57051,Sebastian Rudy,27,1498860000,2017
58358,Thomas Müller,27,1246399200,2017
59016,David Alaba,27,1277935200,2017
60444,Thiago,27,1373752800,2017
88103,James Rodríguez,27,1499810400,2017
126719,Juan Bernat,27,1404684000,2017
154819,Kwasi Wriedt,27,False,2017
161056,Joshua Kimmich,27,1435788000,2017
166601,Niklas Süle,27,1498860000,2017
190393,Corentin Tolisso,27,1498860000,2017
243714,Kingsley Coman,27,1498860000,2017
251302,Niklas Dorsch,27,1467324000,2017
330635,Felix Götze,27,1498860000,2017
336307,Christian Früchtl,27,1498860000,2017
337027,Fabian Benko,27,1467324000,2017
345780,Lukas Mai,27,False,2017
156990,Marco Friedl,27,1498860000,2017
196427,Leo Weinkauf,27,False,2017
232144,Miloš Pantović,27,False,2017
258027,Renato Sanches,27,1467324000,2017
296429,Manuel Wintzheimer,27,False,2017
310662,Timothy Tillman,27,False,2017
317444,Ron-Thorben Hoffmann,27,False,2017
336331,Franck Evina,27,False,2017
379980,Meritan Shabani,27,False,2017
379989,Jonathan Meier,27,False,2017
26,Roman Weidenfeller,16,1025474400,2017
25727,Lukasz Piszczek,16,1277935200,2017
28947,Gonzalo Castro,16,1435701600,2017
31095,Nuri Şahin,16,1404165600,2017
34322,Sokratis Papastathopoulos,16,1372629600,2017
35207,Marco Reus,16,1341093600,2017
35208,Marcel Schmelzer,16,1214863200,2017
43512,Ömer Toprak,16,1498860000,2017
44466,Sebastian Rode,16,1467324000,2017
58205,André Schürrle,16,1469138400,2017
59027,Roman Bürki,16,1435701600,2017
69015,Andriy Yarmolenko,16,1503871200,2017
74842,Mario Götze,16,1469052000,2017
81785,Shinji Kagawa,16,1409436000,2017
93922,Erik Durm,16,1377640800,2017
129674,Jeremy Toljan,16,1504044000,2017
143891,Maximilian Philipp,16,1498860000,2017
170986,Raphaël Guerreiro,16,1467324000,2017
179184,Michy Batshuayi,16,1517353200,2017
191422,Mahmoud Dahoud,16,1498860000,2017
196792,Julian Weigl,16,1435701600,2017
238722,Dominik Reimann,16,1498860000,2017
284730,Manuel Akanji,16,1515970800,2017
315779,Christian Pulisic,16,1451862000,2017
344598,Dan-Axel Zagadou,16,1498860000,2017
349066,Alexander Isak,16,1485126000,2017
366930,Sergio Gómez,16,1517266800,2017
401173,Jadon Sancho,16,1504130400,2017
40995,Neven Subotic,16,1214863200,2017
58864,Pierre-Emerick Aubameyang,16,1372888800,2017
99922,Marc Bartra,16,1467324000,2017
274461,Felix Passlack,16,1451862000,2017
288230,Ousmane Dembélé,16,1467324000,2017
293281,Jacob Bruun Larsen,16,1498860000,2017
342967,Jan-Niklas Beste,16,False,2017
10250,Fabio Coltorti,23826,1341093600,2017
40074,Stefan Ilsanker,23826,1435701600,2017
52200,Dominik Kaiser,23826,1342044000,2017
53418,Kevin Kampl,23826,1504130400,2017
57071,Péter Gulácsi,23826,1435701600,2017
70243,Marcel Halstenberg,23826,1440972000,2017
82070,Diego Demme,23826,1389135600,2017
93740,Willi Orbán,23826,1435701600,2017
106987,Marcel Sabitzer,23826,1404165600,2017
111078,Emil Forsberg,23826,1420585200,2017
139396,Bruma,23826,1498860000,2017
147051,Yvon Mvogo,23826,1498860000,2017
157635,Yussuf Poulsen,23826,1372888800,2017
160968,Benno Schmitz,23826,1467324000,2017
170527,Timo Werner,23826,1467324000,2017
215599,Lukas Klostermann,23826,1408658400,2017
223967,Konrad Laimer,23826,1498860000,2017
251322,Philipp Köhn,23826,1498860000,2017
264956,Jean-Kévin Augustin,23826,1499292000,2017
302215,Naby Keïta,23826,1467324000,2017
344695,Dayot Upamecano,23826,1484262000,2017
357119,Ibrahima Konaté,23826,1498860000,2017
364258,Bernardo,23826,1472335200,2017
