id,name,club,year
125858,Kerem Demirbay,15,2020
193782,Lucas Alario,15,2020
196357,Jonathan Tah,15,2020
206386,Tin Jedvaj,15,2020
215099,Daley Sinkgraven,15,2020
228433,Wendell,15,2020
232454,Nadiem Amiri,15,2020
242086,Patrik Schick,15,2020
292417,Demarai Gray,15,2020
309397,Lennart Grill,15,2020
315131,Timothy Fosu-Mensah,15,2020
387626,Leon Bailey,15,2020
395516,Moussa Diaby,15,2020
401578,Exequiel Palacios,15,2020
428791,Paulinho,15,2020
484547,Jeremie Frimpong,15,2020
527555,Marcel Johnen,15,2020
530157,Cem Türkmen,15,2020
538864,Samed Onur,15,2020
564545,Edmond Tapsoba,15,2020
580276,Emrehan Gedikli,15,2020
598577,Florian Wirtz,15,2020
173491,Joel Pohjanpalo,15,2020
39259,Makoto Hasebe,24,2020
40074,Stefan Ilsanker,24,2020
44466,Sebastian Rode,24,2020
45672,Kevin Trapp,24,2020
49723,Timothy Chandler,24,2020
68033,Steven Zuber,24,2020
85789,Martin Hinteregger,24,2020
93922,Erik Durm,24,2020
96167,Amin Younes,24,2020
146258,Jetro Willems,24,2020
161011,Filip Kostic,24,2020
198008,André Silva,24,2020
212723,Djibril Sow,24,2020
216181,Almamy Touré,24,2020
257462,Luka Jović,24,2020
265625,Ajdin Hrustić,24,2020
296741,Markus Schubert,24,2020
315332,Aymen Barkok,24,2020
356141,Daichi Kamada,24,2020
371149,Evan Ndicka,24,2020
404262,Lukas Fahrnberger,24,2020
416380,Ragnar Ache,24,2020
441238,Yannick Brugger,24,2020
472224,Felix Irorere,24,2020
519226,Jabez Makanda,24,2020
529198,Fynn Otto,24,2020
546213,Tuta,24,2020
555719,Ali Akman,24,2020
569288,Elias Bördner,24,2020
56331,Bas Dost,24,2020
58178,David Abraham,24,2020
85906,Danny da Costa,24,2020
107775,Frederik Rönnow,24,2020
118847,Dominik Kohr,24,2020
170927,Simon Falette,24,2020
181547,Gonçalo Paciência,24,2020
51977,Pavao Pervan,82,2020
66058,Admir Mehmedi,82,2020
79501,Daniel Ginczek,82,2020
88721,Jeffrey Bruma,82,2020
93704,Josuha Guilavogui,82,2020
108880,Koen Casteels,82,2020
117674,Maximilian Arnold,82,2020
119277,Yannick Gerhardt,82,2020
124732,John Anthony Brooks,82,2020
127076,Jérôme Roussillon,82,2020
143891,Maximilian Philipp,82,2020
183321,Kevin Mbabu,82,2020
192268,Niklas Klinger,82,2020
194638,Renato Steffen,82,2020
221611,Paulo Otávio,82,2020
223979,Xaver Schlager,82,2020
228645,Wout Weghorst,82,2020
282144,Marin Pongracic,82,2020
293169,Josip Brekalo,82,2020
327251,Ridle Baku,82,2020
337092,Tim Siersleben,82,2020
381724,Victor Sá,82,2020
434224,Maxence Lacroix,82,2020
441994,Lino Kasten,82,2020
535551,Bartosz Bialek,82,2020
85352,Yunus Mallı,82,2020
89591,Felix Klaus,82,2020
329814,Luca Horn,82,2020
341710,William,82,2020
445939,Omar Marmoush,82,2020
39025,Danny Latza,39,2020
39106,Ádám Szalai,39,2020
43984,Daniel Brosinski,39,2020
82350,Stefan Bell,39,2020
85906,Danny da Costa,39,2020
106872,Kevin Stöger,39,2020
118847,Dominik Kohr,39,2020
119234,Karim Onisiwo,39,2020
126281,Alexander Hack,39,2020
127573,Phillipp Mwene,39,2020
160963,Robin Zentner,39,2020
168543,Levin Öztunali,39,2020
182574,Jean-Paul Boëtius,39,2020
196139,Robert Glatzel,39,2020
206542,Robin Quaison,39,2020
211530,Omer Hanin,39,2020
247555,Edimilson Fernandes,39,2020
251299,Finn Dahmen,39,2020
288253,Jerry St. Juste,39,2020
291200,Moussa Niakhaté,39,2020
333647,Jonathan Burkardt,39,2020
337090,Marius Liesegang,39,2020
339829,Pierre Kunde,39,2020
357233,Leandro Barreiro,39,2020
384553,Luca Kilian,39,2020
405689,Merveille Papela,39,2020
470815,Niklas Tauer,39,2020
503160,Paul Nebel,39,2020
532495,Marlon Mustapha,39,2020
164265,Dong-won Ji,39,2020
251878,Aarón Martín,39,2020
284769,Florian Müller,39,2020
327251,Ridle Baku,39,2020
420002,Jean-Philippe Mateta,39,2020
420890,Dimitri Lavalée,39,2020
482145,Issah Abass,39,2020
7161,Jonas Hofmann,18,2020
19305,Oscar Wendt,18,2020
31653,Tobias Sippel,18,2020
32711,Patrick Herrmann,18,2020
32779,Max Grün,18,2020
42205,Yann Sommer,18,2020
47285,Ibrahima Traoré,18,2020
47587,Tony Jantschke,18,2020
48298,Lars Stindl,18,2020
51346,Michael Lang,18,2020
82097,Christoph Kramer,18,2020
85791,Stefan Lainer,18,2020
124502,Matthias Ginter,18,2020
167329,Alassane Plea,18,2020
186368,Valentino Lazaro,18,2020
192635,Nico Elvedi,18,2020
237662,Breel Embolo,18,2020
278332,Florian Neuhaus,18,2020
284732,Ramy Bensebaini,18,2020
318528,Marcus Thuram,18,2020
321070,Hannes Wolf,18,2020
334526,Denis Zakaria,18,2020
340480,Mamadou Doucouré,18,2020
368860,Torben Müsel,18,2020
392154,Kaan Kurt,18,2020
401717,Julio Villalba,18,2020
403898,Jordan Beyer,18,2020
455922,Jan Olschowsky,18,2020
467434,Rocco Reitz,18,2020
504089,Famana Quizera,18,2020
504153,Joe Scally,18,2020
243188,László Bénes,18,2020
345746,Andreas Poulsen,18,2020
21327,Ron-Robert Zieler,3,2020
53400,Dominick Drexler,3,2020
55510,Marco Höger,3,2020
84150,Rafael Czichos,3,2020
84938,Timo Horn,3,2020
106270,Florian Kainz,3,2020
108537,Jonas Hector,3,2020
146164,Max Meyer,3,2020
147573,Sebastian Andersson,3,2020
160968,Benno Schmitz,3,2020
193900,Marius Wolf,3,2020
231586,Jannes Horn,3,2020
232418,Ondrej Duda,3,2020
