id,name,club,year
80,Tom Starke,27,2015
2219,Philipp Lahm,27,2015
4360,Arjen Robben,27,2015
7476,Xabi Alonso,27,2015
17259,Manuel Neuer,27,2015
22068,Franck Ribéry,27,2015
26485,Jérôme Boateng,27,2015
33947,Rafinha,27,2015
34593,Serdar Taşçı,27,2015
37666,Arturo Vidal,27,2015
38253,Robert Lewandowski,27,2015
40680,Sven Ulreich,27,2015
44017,Javi Martínez,27,2015
44466,Sebastian Rode,27,2015
45124,Medhi Benatia,27,2015
54659,Holger Badstuber,27,2015
58358,Thomas Müller,27,2015
59016,David Alaba,27,2015
60444,Thiago,27,2015
74842,Mario Götze,27,2015
75615,Douglas Costa,27,2015
126719,Juan Bernat,27,2015
161056,Joshua Kimmich,27,2015
161204,Julian Green,27,2015
164145,Ivan Lucic,27,2015
232144,Miloš Pantović,27,2015
243714,Kingsley Coman,27,2015
16136,Dante,27,2015
49734,Jan Kirchhoff,27,2015
82008,Phillipp Steinhart,27,2015
125105,Patrick Weihrauch,27,2015
167799,Pierre-Emile Højbjerg,27,2015
195051,Gianluca Gaudino,27,2015
337027,Fabian Benko,27,2015
26,Roman Weidenfeller,16,2015
25727,Lukasz Piszczek,16,2015
28947,Gonzalo Castro,16,2015
29993,Sven Bender,16,2015
31095,Nuri Şahin,16,2015
34322,Sokratis Papastathopoulos,16,2015
35207,Marco Reus,16,2015
35208,Marcel Schmelzer,16,2015
39728,Mats Hummels,16,2015
40995,Neven Subotic,16,2015
53622,İlkay Gündoğan,16,2015
55735,Henrikh Mkhitaryan,16,2015
58864,Pierre-Emerick Aubameyang,16,2015
59027,Roman Bürki,16,2015
73782,Adrián Ramos,16,2015
81785,Shinji Kagawa,16,2015
82243,Moritz Leitner,16,2015
93922,Erik Durm,16,2015
104220,Hendrik Bonmann,16,2015
111900,Ju-ho Park,16,2015
124502,Matthias Ginter,16,2015
196792,Julian Weigl,16,2015
274461,Felix Passlack,16,2015
315779,Christian Pulisic,16,2015
7161,Jonas Hofmann,16,2015
53418,Kevin Kampl,16,2015
177847,Adnan Januzaj,16,2015
195246,Pascal Stenzel,16,2015
245034,Jon Gorenc Stankovic,16,2015
299328,Patrick Fritsch,16,2015
9340,Marvin Compper,23826,2015
10250,Fabio Coltorti,23826,2015
40074,Stefan Ilsanker,23826,2015
52200,Dominik Kaiser,23826,2015
57071,Péter Gulácsi,23826,2015
