id,name,club,joined,year
17259,Manuel Neuer,27,1309471200,2019
26485,Jérôme Boateng,27,1310594400,2019
38253,Robert Lewandowski,27,1404165600,2019
40680,Sven Ulreich,27,1435701600,2019
42460,Ivan Perisic,27,1565647200,2019
44017,Javi Martínez,27,1346191200,2019
58358,Thomas Müller,27,1246399200,2019
59016,David Alaba,27,1277935200,2019
60444,Thiago,27,1373752800,2019
80444,Philippe Coutinho,27,1566165600,2019
153084,Leon Goretzka,27,1530396000,2019
154819,Kwasi Wriedt,27,False,2019
159471,Serge Gnabry,27,1498860000,2019
161056,Joshua Kimmich,27,1435788000,2019
166601,Niklas Süle,27,1498860000,2019
190393,Corentin Tolisso,27,1498860000,2019
243714,Kingsley Coman,27,1498860000,2019
280730,Álvaro Odriozola,27,1579647600,2019
281963,Lucas Hernández,27,1561932000,2019
317444,Ron-Thorben Hoffmann,27,1530396000,2019
336307,Christian Früchtl,27,1498860000,2019
343337,Fiete Arp,27,1561932000,2019
344600,Michaël Cuisance,27,1566079200,2019
345780,Lukas Mai,27,1561932000,2019
350357,Sarpreet Singh,27,False,2019
353366,Benjamin Pavard,27,1561932000,2019
406614,Oliver Batista Meier,27,False,2019
424204,Alphonso Davies,27,1546297200,2019
435648,Joshua Zirkzee,27,False,2019
483974,Leon Dajaku,27,False,2019
580195,Jamal Musiala,27,False,2019
258027,Renato Sanches,27,1467324000,2019
297583,Woo-yeong Jeong,27,False,2019
351071,Ryan Johansson,27,False,2019
356640,Paul Will,27,False,2019
578539,Chris Richards,27,False,2019
467437,Malik Tillman,27,False,2019
580193,Bright Arrey-Mbi,27,False,2019
25727,Lukasz Piszczek,16,1277935200,2019
35047,Axel Witsel,16,1533506400,2019
35207,Marco Reus,16,1341093600,2019
35208,Marcel Schmelzer,16,1214863200,2019
39728,Mats Hummels,16,1561932000,2019
59027,Roman Bürki,16,1435701600,2019
59238,Marwin Hitz,16,1530396000,2019
74842,Mario Götze,16,1469052000,2019
85867,Nico Schulz,16,1561932000,2019
91849,Thomas Delaney,16,1530396000,2019
102226,Thorgan Hazard,16,1561932000,2019
119296,Emre Can,16,1580425200,2019
152460,Eric Oelschlägel,16,1530396000,2019
170986,Raphaël Guerreiro,16,1467324000,2019
187492,Julian Brandt,16,1561932000,2019
191422,Mahmoud Dahoud,16,1498860000,2019
272278,Chris Führich,16,False,2019
284730,Manuel Akanji,16,1515970800,2019
344598,Dan-Axel Zagadou,16,1498860000,2019
384745,Tobias Raschl,16,1561932000,2019
388513,Mateu Morey,16,1561932000,2019
388815,Luca Unbehaun,16,1561932000,2019
398073,Achraf Hakimi,16,1531260000,2019
401173,Jadon Sancho,16,1504130400,2019
412935,Immanuel Pherai,16,False,2019
418560,Erling Haaland,16,1577833200,2019
504215,Giovanni Reyna,16,1578783600,2019
575998,Leonardo Balerdi,16,1547420400,2019
43512,Ömer Toprak,16,1498860000,2019
126716,Paco Alcácer,16,1561932000,2019
193900,Marius Wolf,16,1530482400,2019
196792,Julian Weigl,16,1435701600,2019
237244,Marco Rente,16,False,2019
293281,Jacob Bruun Larsen,16,1498860000,2019
300582,Jonas Hupe,16,False,2019
314214,Taylan Duman,16,False,2019
386109,Alaa Bakir,16,False,2019
21726,Philipp Tschauner,23826,1564437600,2019
53418,Kevin Kampl,23826,1504130400,2019
57071,Péter Gulácsi,23826,1435701600,2019
70243,Marcel Halstenberg,23826,1440972000,2019
93740,Willi Orbán,23826,1435701600,2019
106987,Marcel Sabitzer,23826,1404165600,2019
111078,Emil Forsberg,23826,1420585200,2019
147051,Yvon Mvogo,23826,1498860000,2019
157635,Yussuf Poulsen,23826,1372888800,2019
170527,Timo Werner,23826,1467324000,2019
215599,Lukas Klostermann,23826,1408658400,2019
223967,Konrad Laimer,23826,1498860000,2019
242086,Patrik Schick,23826,1567375200,2019
277179,Angeliño,23826,1580425200,2019
293385,Dani Olmo,23826,1579906800,2019
321070,Hannes Wolf,23826,1561932000,2019
332705,Tyler Adams,23826,1546297200,2019
344381,Christopher Nkunku,23826,1563400800,2019
344695,Dayot Upamecano,23826,1484262000,2019
348026,Nordi Mukiele,23826,1530396000,2019
357119,Ibrahima Konaté,23826,1498860000,2019
392771,Ethan Ampadu,23826,1563746400,2019
402008,Amadou Haidara,23826,1546297200,2019
405679,Frederik Jäkel,23826,1561932000,2019
405685,Fabrice Hartmann,23826,1562104800,2019
405687,Tom Krauß,23826,1561932000,2019
406040,Ademola Lookman,23826,1564005600,2019
426685,Tim Schreiber,23826,False,2019
462832,Mads Bidstrup,23826,False,2019
508961,Malik Talabidi,23826,1564264800,2019
40074,Stefan Ilsanker,23826,1435701600,2019
82070,Diego Demme,23826,1389135600,2019
264956,Jean-Kévin Augustin,23826,1499292000,2019
373916,Marcelo Saracchi,23826,1530396000,2019
467426,Dennis Borkowski,23826,False,2019
517894,Matheus Cunha,23826,1530396000,2019
597004,Joscha Wosz,23826,False,2019
668276,Hugo Novoa,23826,False,2019
16831,Ken Reichel,89,1530396000,2019
18533,Michael Parensen,89,1233270000,2019
19112,Christian Gentner,89,1562277600,2019
31910,Felix Kroos,89,1467324000,2019
40995,Neven Subotic,89,1562191200,2019
41507,Manuel Schmiedebach,89,1561932000,2019
60957,Sebastian Polter,89,1484002800,2019
75921,Christopher Trimmel,89,1404165600,2019
78339,Rafal Gikiewicz,89,1530396000,2019
85352,Yunus Mallı,89,1579215600,2019
85822,Florian Hübner,89,1530396000,2019
92472,Akaki Gogia,89,1498946400,2019
116088,Marius Bülter,89,1562191200,2019
142281,Anthony Ujah,89,1561932000,2019
147573,Sebastian Andersson,89,1530396000,2019
159088,Robert Andrich,89,1561932000,2019
159844,Christopher Lenz,89,1467324000,2019
188888,Sheraldo Becker,89,1561932000,2019
196231,Marvin Friedrich,89,1562277600,2019
196815,Joshua Mees,89,1530396000,2019
203411,Jakob Busk,89,1452812400,2019
234029,Grischa Prömel,89,1498860000,2019
269878,Marcus Ingvartsen,89,1561932000,2019
272159,Florian Flecker,89,1561932000,2019
284270,Moritz Nicolas,89,1561932000,2019
317735,Julius Kade,89,1561932000,2019
356118,Suleiman Abdullahi,89,1561932000,2019
370789,Julian Ryerson,89,1532988000,2019
393304,Maurice Opfermann Arcones,89,1561932000,2019
413843,Keven Schlotterbeck,89,1561932000,2019
451403,Laurenz Dehl,89,1561932000,2019
489343,Leo Oppermann,89,1567548000,2019
