id,name,club,joined,year
42079,Sebastian Mielitz,60,1404165600,2014
42936,Nils Petersen,60,1420066800,2014
55099,Nicolas Höfler,60,1277935200,2014
55114,Oliver Sorg,60,1327273200,2014
58437,Dani Schahin,60,1409004000,2014
59027,Roman Bürki,60,1404165600,2014
66058,Admir Mehmedi,60,1404165600,2014
70285,Jonathan Schmid,60,1297292400,2014
77920,Immanuel Höhn,60,1327273200,2014
89591,Felix Klaus,60,1372629600,2014
90317,Daniel Batz,60,1309471200,2014
93707,Christian Günter,60,1341093600,2014
143029,Stefan Mitrovic,60,1405461600,2014
143891,Maximilian Philipp,60,1404165600,2014
160938,Marc Oliver Kempf,60,1405375200,2014
179643,Vladimir Darida,60,1377640800,2014
190269,Caleb Stanko,60,1404165600,2014
190831,Mats Møller Dæhli,60,1420066800,2014
201737,Christopher Jullien,60,1420066800,2014
218011,Florian Kath,60,False,2014
25468,Sebastian Freis,60,1326754800,2014
59196,Philipp Zulechner,60,1390518000,2014
124517,Sebastian Kerk,60,1372629600,2014
691,Simon Rolfes,15,1120168800,2014
3256,Roberto Hilbert,15,1373580000,2014
4746,David Yelldell,15,1309730400,2014
6237,Stefan Kießling,15,1151704800,2014
14219,Dario Kresic,15,1404165600,2014
28947,Gonzalo Castro,15,1104534000,2014
30059,Lars Bender,15,1250546400,2014
36914,Sebastian Boenisch,15,1351983600,2014
43274,Stefan Reinartz,15,1214863200,2014
43512,Ömer Toprak,15,1309471200,2014
51972,Robbie Kruse,15,1372629600,2014
58489,Kyriakos Papadopoulos,15,1407016800,2014
61087,Karim Bellarabi,15,1309471200,2014
72476,Bernd Leno,15,1325372400,2014
88684,Giulio Donati,15,1372629600,2014
91845,Heung-min Son,15,1372629600,2014
126414,Hakan Çalhanoğlu,15,1404424800,2014
140579,Josip Drmic,15,1404165600,2014
157373,Vladlen Yurchenko,15,1404165600,2014
182752,Marlon Frey,15,False,2014
187492,Julian Brandt,15,1388530800,2014
206386,Tin Jedvaj,15,1421708400,2014
228433,Wendell,15,1404165600,2014
25812,Emir Spahic,15,1372629600,2014
168543,Levin Öztunali,15,1372629600,2014
227078,Lukas Boeder,15,False,2014
1565,Alexander Meier,24,1120168800,2014
2050,Nelson Valdez,24,1406584800,2014
2767,Alexander Madlung,24,1388617200,2014
16520,Marco Russ,24,1372629600,2014
35183,Stefan Aigner,24,1341093600,2014
38415,Johannes Flum,24,1372629600,2014
39259,Makoto Hasebe,24,1404165600,2014
41866,Constant Djakpa,24,1309471200,2014
44594,Felix Wiedwald,24,1372629600,2014
45672,Kevin Trapp,24,1341093600,2014
48164,Slobodan Medojevic,24,1409436000,2014
49723,Timothy Chandler,24,1404165600,2014
53437,Bastian Oczipka,24,1341093600,2014
53533,Carlos Zambrano,24,1345154400,2014
74295,Aleksandar Ignjovski,24,1404165600,2014
78553,Bamba Anderson,24,1343858400,2014
78950,Sonny Kittel,24,1293836400,2014
98249,Takashi Inui,24,1341266400,2014
109256,Haris Seferovic,24,1406844000,2014
160943,Marc Stendera,24,1341093600,2014
176485,Lucas Piazón,24,1406239200,2014
196095,Luca Waldschmidt,24,1372629600,2014
196770,Joel Gerezgiher,24,1404165600,2014
196834,David Kinsombi,24,1404165600,2014
202836,Yaffa Yusupha,24,1420412400,2014
215784,Yannick Zummack,24,1404165600,2014
236366,Emil Balayev,24,1420066800,2014
598,Timo Hildebrand,24,1411596000,2014
3942,Martin Lanig,24,1341093600,2014
91423,Vaclav Kadlec,24,1376776800,2014
1667,Diego Benaglio,82,1200956400,2014
2358,Patrick Ochs,82,1309471200,2014
4687,Aaron Hunt,82,1404165600,2014
8317,Marcel Schäfer,82,1185228000,2014
10471,Luiz Gustavo,82,1376604000,2014
32213,Naldo,82,1342648800,2014
32779,Max Grün,82,1372629600,2014
34557,Nicklas Bendtner,82,1408053600,2014
35247,Vieirinha,82,1325545200,2014
38410,Daniel Caligiuri,82,1372629600,2014
38440,Christian Träsch,82,1311544800,2014
42460,Ivan Perisic,82,1357426800,2014
45448,Felipe Lopes,82,1325718000,2014
49730,Sebastian Jung,82,1404165600,2014
56331,Bas Dost,82,1341093600,2014
58205,André Schürrle,82,1422831600,2014
65255,Timm Klose,82,1372629600,2014
86784,Ricardo Rodríguez,82,1326409200,2014
88755,Kevin De Bruyne,82,1389999600,2014
93704,Josuha Guilavogui,82,1407448800,2014
94192,Patrick Drewes,82,1341093600,2014
94201,Robin Knoche,82,1341093600,2014
117674,Maximilian Arnold,82,1325372400,2014
150163,Xizhe Zhang,82,1420066800,2014
158055,Moritz Sprenger,82,1389567600,2014
183780,Paul Seguin,82,1390777200,2014
